<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.08.20	1.17590	1.19411	1.17307	1.19209	422203	0	7
2017.08.27	1.19423	1.20699	1.18228	1.18627	535251	0	7
2017.09.03	1.18807	1.20921	1.18679	1.20337	565122	0	7
2017.09.10	1.20161	1.20292	1.18379	1.19447	496328	1054193000	0
2017.09.17	1.19233	1.20330	1.18611	1.19465	493193	0	0
2017.09.24	1.18987	1.19366	1.17171	1.18131	501792	0	0
2017.10.01	1.17945	1.18151	1.16692	1.17290	399130	0	0
2017.10.08	1.17305	1.18797	1.17195	1.18195	344846	0	0
2017.10.15	1.18120	1.18579	1.17300	1.17811	371239	0	0
2017.10.22	1.17664	1.18367	1.15742	1.16075	399532	0	0
2017.10.29	1.16054	1.16906	1.15933	1.16066	337299	0	0
2017.11.05	1.16097	1.16779	1.15540	1.16637	334933	0	0
2017.11.12	1.16574	1.18603	1.16373	1.17884	346862	0	0
2017.11.19	1.17852	1.19443	1.17129	1.19287	322068	0	0
2017.11.26	1.19265	1.19611	1.18089	1.18919	421435	0	0
2017.12.03	1.18618	1.18786	1.17302	1.17731	394406	0	0
2017.12.10	1.17650	1.18625	1.17175	1.17505	381570	0	0
2017.12.17	1.17435	1.19017	1.17375	1.18630	505827	0	0
2017.12.24	1.18704	1.20255	1.18466	1.20045	280843	0	1
2017.12.31	1.20088	1.20889	1.20007	1.20298	416717	0	1
2018.01.07	1.20268	1.22185	1.19155	1.22000	686104	0	1
2018.01.14	1.21932	1.23231	1.21652	1.22224	852634	0	1
2018.01.21	1.22698	1.25378	1.22139	1.24264	1005448	0	0
2018.01.28	1.24259	1.25220	1.23348	1.24560	951366	0	1
2018.02.04	1.24344	1.24749	1.22054	1.22498	1160485	0	1
2018.02.11	1.22442	1.25554	1.22350	1.24105	810971	0	1
2018.02.18	1.24008	1.24352	1.22595	1.22935	725797	0	1
2018.02.25	1.22930	1.23550	1.21546	1.23184	748826	0	1
2018.03.04	1.23324	1.24462	1.22688	1.23053	786397	0	1
2018.03.11	1.23096	1.24125	1.22600	1.22889	619336	0	1
2018.03.18	1.22872	1.23885	1.22396	1.23514	650183	0	1
2018.03.25	1.23497	1.24763	1.22839	1.23218	529644	0	1
2018.04.01	1.23192	1.23450	1.22149	1.22809	406643	0	1
2018.04.08	1.22794	1.23964	1.22602	1.23290	385944	0	1
2018.04.15	1.23289	1.24137	1.22496	1.22873	339671	0	1
2018.04.22	1.22695	1.22895	1.20553	1.21293	440328	0	1
2018.04.29	1.21248	1.21387	1.19108	1.19609	514946	0	1
2018.05.06	1.19507	1.19780	1.18226	1.19417	467822	0	1
2018.05.13	1.19418	1.19961	1.17498	1.17705	523562	0	1
2018.05.20	1.17696	1.18297	1.16452	1.16492	539475	0	1
2018.05.27	1.16823	1.17284	1.15098	1.16596	643643	0	0
2018.06.03	1.16554	1.18398	1.16526	1.17693	494367	0	0
2018.06.10	1.17732	1.18519	1.15430	1.16070	526713	0	1
2018.06.17	1.15874	1.16749	1.15078	1.16539	574416	0	1
2018.06.24	1.16635	1.17205	1.15271	1.16831	625519	0	1
2018.07.01	1.16841	1.17679	1.15912	1.17435	453108	0	1
2018.07.08	1.17382	1.17908	1.16128	1.16856	467936	0	1
2018.07.15	1.16895	1.17446	1.15747	1.17209	554059	0	0
2018.07.22	1.17261	1.17497	1.16199	1.16565	372540	0	3
2018.07.29	1.16563	1.17455	1.15598	1.15672	313409	0	2
2018.08.05	1.15681	1.16278	1.13878	1.14111	316260	0	2
2018.08.12	1.13714	1.14445	1.13006	1.14381	424668	0	2
2018.08.19	1.14366	1.16394	1.13940	1.16218	372151	0	2
2018.08.26	1.16160	1.17333	1.15842	1.16021	387148	0	2
2018.09.02	1.15955	1.16588	1.15297	1.15526	361319	0	2
2018.09.09	1.15494	1.17213	1.15255	1.16219	315729	0	2
2018.09.16	1.16231	1.18024	1.16175	1.17537	344737	0	3
2018.09.23	1.17405	1.18148	1.15693	1.16020	369733	0	2
2018.09.30	1.16156	1.16243	1.14630	1.15234	391742	0	3
2018.10.07	1.15205	1.16101	1.14318	1.15584	428430	0	2
2018.10.14	1.15364	1.16209	1.14326	1.15142	387061	0	2
2018.10.21	1.15160	1.15498	1.13353	1.14021	412609	0	2
2018.10.28	1.13978	1.14555	1.13017	1.13859	374875	0	3
2018.11.04	1.13853	1.14994	1.13157	1.13343	396615	0	2
2018.11.11	1.13184	1.14199	1.12153	1.14140	443026	0	3
2018.11.18	1.14136	1.14719	1.13270	1.13296	297639	0	2
2018.11.25	1.13391	1.14013	1.12667	1.13155	352113	0	2
2018.12.02	1.13499	1.14233	1.13104	1.13962	372424	0	2
2018.12.09	1.13893	1.14423	1.12694	1.13053	400607	0	2
2018.12.16	1.12995	1.14855	1.12957	1.13665	426163	0	2
2018.12.23	1.13675	1.14723	1.13422	1.14398	287476	0	2
2018.12.30	1.14337	1.14967	1.13088	1.13955	331483	0	2
2019.01.06	1.13957	1.15698	1.13952	1.14626	365279	0	2
2019.01.13	1.14569	1.14893	1.13528	1.13655	346702	0	3
2019.01.20	1.13587	1.14172	1.12889	1.14051	334430	0	3
2019.01.27	1.14006	1.15139	1.13897	1.14529	365092	0	2
2019.02.03	1.14506	1.14600	1.13206	1.13217	260644	0	2
2019.02.10	1.13196	1.13410	1.12336	1.12905	289987	0	2
2019.02.17	1.12917	1.13707	1.12750	1.13303	298622	0	3
2019.02.24	1.13332	1.14192	1.13270	1.13626	317731	0	2
2019.03.03	1.13734	1.13810	1.11756	1.12324	304064	0	2
2019.03.10	1.12345	1.13439	1.12214	1.13237	294352	0	2
2019.03.17	1.13230	1.14477	1.12729	1.13006	303744	0	0
2019.03.24	1.12934	1.13310	1.12094	1.12166	348369	0	2
2019.03.31	1.12258	1.12543	1.11833	1.12152	280586	0	3
2019.04.07	1.12139	1.13235	1.12101	1.12981	237518	0	2
2019.04.14	1.13032	1.13234	1.12258	1.12388	225375	0	2
2019.04.21	1.12396	1.12616	1.11105	1.11420	241061	0	2
2019.04.28	1.11390	1.12644	1.11346	1.12021	266238	0	2
2019.05.05	1.11707	1.12532	1.11662	1.12333	304590	0	3
2019.05.12	1.12296	1.12631	1.11548	1.11565	251498	0	2
2019.05.19	1.11600	1.12118	1.11066	1.12044	233185	0	3
2019.05.26	1.12094	1.12150	1.11157	1.11676	225397	0	1
2019.06.02	1.11644	1.13474	1.11596	1.13322	325800	0	1
2019.06.09	1.13224	1.13430	1.12020	1.12103	256590	0	3
2019.06.16	1.12088	1.13773	1.11809	1.13699	318802	0	1
2019.06.23	1.13696	1.14116	1.13437	1.13693	290931	0	2
2019.06.30	1.13670	1.13707	1.12070	1.12248	223778	0	2
2019.07.07	1.12240	1.12857	1.11932	1.12699	215465	0	1
2019.07.14	1.12654	1.12838	1.11997	1.12194	222048	0	1
2019.07.21	1.12140	1.12252	1.11013	1.11270	204455	0	2
2019.07.28	1.11253	1.11620	1.10269	1.11050	319326	0	2
2019.08.04	1.11032	1.12495	1.11027	1.11998	387700	0	2
2019.08.11	1.11977	1.12306	1.10663	1.10893	350110	0	1
2019.08.18	1.10924	1.11531	1.10515	1.11386	272508	0	1
2019.08.25	1.11496	1.11639	1.09630	1.09893	379954	0	1
2019.09.01	1.09899	1.10846	1.09257	1.10245	321987	0	1
2019.09.08	1.10256	1.11094	1.09267	1.10697	246396	0	1
2019.09.15	1.10720	1.10863	1.09902	1.10187	244353	0	1
2019.09.22	1.10120	1.10253	1.09038	1.09411	237660	0	1
2019.09.29	1.09403	1.09992	1.08790	1.09772	240507	0	1
2019.10.06	1.09790	1.10627	1.09411	1.10360	245042	0	1
2019.10.13	1.10314	1.11702	1.09912	1.11689	237094	0	1
2019.10.20	1.11604	1.11793	1.10729	1.10794	173330	0	1
2019.10.27	1.10788	1.11756	1.10735	1.11648	179586	0	1
2019.11.03	1.11687	1.11753	1.10166	1.10189	182718	0	1
2019.11.10	1.10185	1.10567	1.09890	1.10515	149602	0	1
2019.11.17	1.10510	1.10969	1.10144	1.10182	153731	0	1
2019.11.24	1.10151	1.10320	1.09810	1.10152	134465	0	1
2019.12.01	1.10241	1.11161	1.10029	1.10595	154743	0	1
2019.12.08	1.10574	1.11993	1.10533	1.11173	190392	0	1
2019.12.15	1.11259	1.11745	1.10662	1.10751	162001	0	1
2019.12.22	1.10750	1.11882	1.10690	1.11760	98438	0	1
2019.12.29	1.11754	1.12392	1.11250	1.11558	138660	0	1
2020.01.05	1.11646	1.12054	1.10850	1.11212	181181	0	1
2020.01.12	1.11162	1.11726	1.10862	1.10893	145338	0	1
2020.01.19	1.10920	1.11180	1.10196	1.10255	148300	0	1
2020.01.26	1.10295	1.10951	1.09922	1.10943	162515	0	1
2020.02.02	1.10907	1.10927	1.09418	1.09430	168791	0	1
2020.02.09	1.09424	1.09574	1.08272	1.08301	153862	0	1
2020.02.16	1.08397	1.08634	1.07775	1.08474	170332	0	1
2020.02.23	1.08250	1.10531	1.08049	1.10293	349962	0	1
2020.03.01	1.10407	1.13546	1.10362	1.12901	385483	0	1
2020.03.08	1.13469	1.14964	1.10549	1.11025	847709	0	0
2020.03.15	1.11886	1.12364	1.06375	1.06935	1049884	0	0
2020.03.22	1.06937	1.11470	1.06355	1.11431	849143	0	0
2020.03.29	1.11159	1.11439	1.07727	1.08127	543298	0	0
2020.04.05	1.08088	1.09522	1.07682	1.09347	390449	0	0
2020.04.12	1.09428	1.09907	1.08119	1.08739	550745	0	0
2020.04.19	1.08625	1.08965	1.07269	1.08244	506704	0	0
2020.04.26	1.08208	1.10180	1.08096	1.09802	387192	0	0
2020.05.03	1.09684	1.09743	1.07664	1.08386	276192	0	0
2020.05.10	1.08240	1.08963	1.07748	1.08187	266133	0	0
2020.05.17	1.08014	1.10082	1.07998	1.09022	235768	0	0
2020.05.24	1.08953	1.11450	1.08706	1.11076	286301	0	0
2020.05.31	1.11150	1.13837	1.11003	1.12874	368853	0	0
2020.06.07	1.12932	1.14222	1.12125	1.12604	408736	0	0
2020.06.14	1.12356	1.13531	1.11681	1.11765	387480	0	0
2020.06.21	1.11819	1.13483	1.11684	1.12179	284549	0	0
2020.06.28	1.12146	1.13025	1.11847	1.12482	222081	0	1
2020.07.05	1.12430	1.13706	1.12406	1.12965	234141	0	0
2020.07.12	1.13015	1.14518	1.13008	1.14258	230758	0	1
2020.07.19	1.14042	1.16576	1.14021	1.16549	263527	0	0
2020.07.26	1.16431	1.19086	1.16412	1.17713	314222	0	0
2020.08.02	1.17697	1.19160	1.16957	1.17854	292920	0	0
2020.08.09	1.17864	1.18640	1.17109	1.18413	255048	0	0
2020.08.16	1.18377	1.19656	1.17542	1.17964	256632	0	0
2020.08.23	1.17929	1.19196	1.17621	1.19055	263442	0	1
2020.08.30	1.19036	1.20108	1.17808	1.18394	278392	0	0
2020.09.06	1.18458	1.19174	1.17528	1.18459	245400	0	1
2020.09.13	1.18362	1.19004	1.17374	1.18413	233660	0	1
2020.09.20	1.18455	1.18717	1.16122	1.16296	262427	0	0
2020.09.27	1.16222	1.17694	1.16151	1.17165	262579	0	0
2020.10.04	1.17131	1.18304	1.17053	1.18293	218670	0	0
2020.10.11	1.18173	1.18265	1.16882	1.17160	205670	0	0
2020.10.18	1.17195	1.18806	1.17030	1.18598	207002	0	0
2020.10.25	1.18551	1.18554	1.16398	1.16462	228546	0	0
2020.11.01	1.16468	1.18909	1.16019	1.18746	338196	0	0
2020.11.08	1.18873	1.19200	1.17455	1.18326	346088	0	0
2020.11.15	1.18400	1.18939	1.18141	1.18587	249392	0	0
2020.11.22	1.18496	1.19630	1.18000	1.19593	228011	0	0
2020.11.29	1.19600	1.21773	1.19236	1.21201	336825	0	0
2020.12.06	1.21299	1.21664	1.20585	1.21125	378639	0	0
2020.12.13	1.21366	1.22729	1.21156	1.22542	332396	0	0
2020.12.20	1.22166	1.22573	1.21296	1.21808	309592	0	0
2020.12.27	1.21696	1.23099	1.21696	1.22155	246700	0	0
2021.01.03	1.22395	1.23494	1.21932	1.22218	464146	0	0
2021.01.10	1.22116	1.22285	1.20750	1.20766	373830	0	0
2021.01.17	1.20813	1.21894	1.20536	1.21704	296772	0	0
2021.01.24	1.21704	1.21833	1.20586	1.21353	333298	0	0
2021.01.31	1.21301	1.21364	1.19522	1.20492	291757	0	0
2021.02.07	1.20426	1.21493	1.20197	1.21189	275406	0	0
2021.02.14	1.21240	1.21694	1.20234	1.21174	293162	0	0
2021.02.21	1.21131	1.22432	1.20622	1.20727	450580	0	1
2021.02.28	1.20688	1.21132	1.18928	1.19120	425523	0	0
2021.03.07	1.19166	1.19900	1.18356	1.19519	452373	0	1
2021.03.14	1.19473	1.19890	1.18738	1.19044	365482	0	1
2021.03.21	1.18828	1.19467	1.17619	1.17933	316659	0	1
2021.03.28	1.17886	1.17937	1.17041	1.17608	256311	0	0
2021.04.04	1.17543	1.19273	1.17382	1.19010	259926	0	0
2021.04.11	1.18881	1.19949	1.18712	1.19809	248024	0	1
2021.04.18	1.19716	1.21000	1.19426	1.20973	228264	0	0
2021.04.25	1.20922	1.21502	1.20166	1.20208	224254	0	0
2021.05.02	1.20301	1.21713	1.19860	1.21618	232014	0	0
2021.05.09	1.21600	1.21817	1.20515	1.21441	294198	0	0
2021.05.16	1.21323	1.22452	1.21260	1.21806	285032	0	0
2021.05.23	1.21776	1.22664	1.21327	1.21896	296788	0	0
2021.05.30	1.21993	1.22543	1.21041	1.21662	258307	0	0
2021.06.06	1.21595	1.22179	1.20927	1.21063	253570	0	0
2021.06.13	1.21025	1.21473	1.18537	1.18597	336016	0	0
2021.06.20	1.18550	1.19752	1.18477	1.19370	347287	0	0
2021.06.27	1.19316	1.19445	1.18071	1.18646	334971	0	0
2021.07.04	1.18576	1.18950	1.17817	1.18774	367782	0	0
2021.07.11	1.18715	1.18802	1.17719	1.18055	341420	0	0
2021.07.18	1.18054	1.18303	1.17519	1.17689	321944	0	0
2021.07.25	1.17677	1.19087	1.17635	1.18730	285774	0	0
2021.08.01	1.18641	1.18997	1.17544	1.17611	239558	0	0
2021.08.08	1.17568	1.18048	1.17061	1.17962	206636	0	0
2021.08.15	1.17941	1.18007	1.16640	1.16996	238848	0	0
2021.08.22	1.16897	1.18026	1.16897	1.17955	231737	0	0
2021.08.29	1.17926	1.19091	1.17829	1.18772	238088	0	0
2021.09.05	1.18768	1.18862	1.18022	1.18107	270402	0	0
2021.09.12	1.18143	1.18460	1.17242	1.17250	282874	0	0
2021.09.19	1.17272	1.17555	1.16835	1.17206	309466	0	0
2021.09.26	1.17255	1.17255	1.15626	1.15927	326858	0	0
2021.10.03	1.15922	1.16400	1.15292	1.15736	279498	0	0
2021.10.10	1.15659	1.16245	1.15242	1.15981	289659	0	0
2021.10.17	1.15976	1.16692	1.15717	1.16437	316238	0	0
2021.10.24	1.16380	1.16920	1.15353	1.15620	346236	0	0
2021.10.31	1.15626	1.16162	1.15134	1.15665	310576	0	0
2021.11.07	1.15597	1.16086	1.14328	1.14427	319140	0	0
2021.11.14	1.14456	1.14641	1.12498	1.12829	376954	0	0
2021.11.21	1.12884	1.13303	1.11861	1.13215	411498	0	0
2021.11.28	1.13002	1.13830	1.12354	1.13083	436025	0	0
2021.12.05	1.12995	1.13549	1.12274	1.13162	310002	0	0
2021.12.12	1.13077	1.13602	1.12217	1.12372	316251	0	0
2021.12.19	1.12356	1.13435	1.12341	1.13197	271002	0	0
2021.12.26	1.13023	1.13861	1.12732	1.13755	218536	0	0
2022.01.02	1.13693	1.13778	1.12723	1.13590	294714	0	0
