<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.03.14	00:00:00	1.11444	1.11759	1.11440	1.11574	27268	34782226000	7
2016.03.14	08:00:00	1.11575	1.11637	1.10983	1.11109	55825	100212487000	7
2016.03.14	16:00:00	1.11108	1.11217	1.10775	1.11012	43907	73913721000	7
2016.03.15	00:00:00	1.11012	1.11149	1.10933	1.11061	27450	31757660000	7
2016.03.15	08:00:00	1.11059	1.11248	1.10715	1.11001	60242	102381717000	7
2016.03.15	16:00:00	1.11004	1.11168	1.10812	1.11048	42665	76480280000	7
2016.03.16	00:00:00	1.11049	1.11121	1.10940	1.10962	22188	30167973000	7
2016.03.16	08:00:00	1.10962	1.11010	1.10575	1.10632	54595	80999351000	7
2016.03.16	16:00:00	1.10634	1.12420	1.10579	1.12120	70190	90602874000	7
2016.03.17	00:00:00	1.12123	1.12295	1.12048	1.12189	32253	38875156000	7
2016.03.17	08:00:00	1.12190	1.13422	1.12189	1.13274	80683	100526501000	7
2016.03.17	16:00:00	1.13274	1.13371	1.12905	1.13151	48096	62775501000	7
2016.03.18	00:00:00	1.13139	1.13365	1.13062	1.13103	33583	44625567000	7
2016.03.18	08:00:00	1.13104	1.13137	1.12558	1.12902	61444	97650036000	7
2016.03.18	16:00:00	1.12902	1.13067	1.12625	1.12688	43390	72550095000	7
2016.03.21	00:00:00	1.12682	1.12844	1.12657	1.12686	23432	26757993000	7
2016.03.21	08:00:00	1.12686	1.12843	1.12352	1.12605	51659	73690181000	7
2016.03.21	16:00:00	1.12603	1.12684	1.12344	1.12386	40558	65743784000	7
2016.03.22	00:00:00	1.12386	1.12596	1.12292	1.12535	24439	28642772000	7
2016.03.22	08:00:00	1.12533	1.12594	1.11881	1.12223	63960	80697632000	7
2016.03.22	16:00:00	1.12269	1.12361	1.12037	1.12150	30163	40341272000	7
2016.03.23	00:00:00	1.12151	1.12231	1.12037	1.12045	19986	19412831000	7
2016.03.23	08:00:00	1.12046	1.12082	1.11628	1.11836	47232	58210715000	7
2016.03.23	16:00:00	1.11834	1.11876	1.11696	1.11796	22891	32904746000	7
2016.03.24	00:00:00	1.11802	1.11860	1.11635	1.11737	20351	21227459000	7
2016.03.24	08:00:00	1.11736	1.11874	1.11439	1.11598	50021	65825161000	7
2016.03.24	16:00:00	1.11603	1.11859	1.11497	1.11786	34360	55512271000	0
2016.03.25	00:00:00	1.11786	1.11789	1.11536	1.11652	14818	13467341000	0
2016.03.25	08:00:00	1.11665	1.11757	1.11558	1.11689	14934	13375079000	7
2016.03.25	16:00:00	1.11690	1.11706	1.11576	1.11613	15762	24062118000	7
2016.03.28	00:00:00	1.11599	1.11672	1.11527	1.11626	12989	18836318000	7
2016.03.28	08:00:00	1.11626	1.11828	1.11572	1.11801	16115	26783199000	7
2016.03.28	16:00:00	1.11802	1.12197	1.11794	1.11952	32929	61873308000	7
2016.03.29	00:00:00	1.11930	1.12022	1.11840	1.11901	20773	26703566000	0
2016.03.29	08:00:00	1.11901	1.12159	1.11687	1.12140	51378	83884175000	7
2016.03.29	16:00:00	1.12143	1.13032	1.11790	1.12893	69141	118756878000	7
2016.03.30	00:00:00	1.12896	1.13001	1.12831	1.12963	21687	28152735000	0
2016.03.30	08:00:00	1.12962	1.13387	1.12930	1.13110	63489	106208837000	7
2016.03.30	16:00:00	1.13110	1.13652	1.13020	1.13387	67312	115845481000	7
2016.03.31	00:00:00	1.13359	1.13411	1.13103	1.13174	21621	29750611000	7
2016.03.31	08:00:00	1.13174	1.13985	1.13098	1.13884	59479	99229743000	7
2016.03.31	16:00:00	1.13884	1.14115	1.13757	1.13788	64261	119004139000	7
2016.04.01	00:00:00	1.13777	1.13880	1.13665	1.13737	24191	31856903000	0
2016.04.01	08:00:00	1.13738	1.14377	1.13710	1.13994	66551	110761281000	7
2016.04.01	16:00:00	1.13994	1.14113	1.13344	1.13897	68948	122473270000	7
2016.04.04	00:00:00	1.13994	1.14123	1.13829	1.13830	20859	25304399000	7
2016.04.04	08:00:00	1.13830	1.14001	1.13570	1.13973	54937	87789411000	7
2016.04.04	16:00:00	1.13973	1.14092	1.13729	1.13888	53679	88818335000	7
2016.04.05	00:00:00	1.13863	1.14049	1.13830	1.13897	23202	29252280000	7
2016.04.05	08:00:00	1.13897	1.13920	1.13435	1.13730	63633	109534183000	7
2016.04.05	16:00:00	1.13730	1.14010	1.13356	1.13826	59860	107965981000	7
2016.04.06	00:00:00	1.13826	1.13869	1.13648	1.13717	22851	32353937000	0
2016.04.06	08:00:00	1.13717	1.13734	1.13262	1.13653	57062	90715009000	7
2016.04.06	16:00:00	1.13653	1.14317	1.13590	1.13979	69298	121091354000	7
2016.04.07	00:00:00	1.13975	1.14152	1.13913	1.14059	26277	32344618000	0
2016.04.07	08:00:00	1.14060	1.14538	1.13572	1.13772	76178	127073168000	7
2016.04.07	16:00:00	1.13772	1.13993	1.13373	1.13767	63434	98013666000	7
2016.04.08	00:00:00	1.13751	1.13784	1.13589	1.13641	28223	39884321000	7
2016.04.08	08:00:00	1.13641	1.13935	1.13488	1.13630	58025	91061634000	7
2016.04.08	16:00:00	1.13634	1.14190	1.13619	1.13949	54171	86468735000	7
2016.04.11	00:00:00	1.14138	1.14256	1.13950	1.14100	22793	27412137000	0
2016.04.11	08:00:00	1.14100	1.14277	1.13721	1.14112	53264	89175284000	7
2016.04.11	16:00:00	1.14112	1.14470	1.13939	1.14097	50778	88583763000	7
2016.04.12	00:00:00	1.14052	1.14163	1.14001	1.14081	22285	32502178000	0
2016.04.12	08:00:00	1.14082	1.14645	1.13795	1.13823	62944	112295188000	7
2016.04.12	16:00:00	1.13823	1.14004	1.13458	1.13835	59123	93882070000	7
2016.04.13	00:00:00	1.13827	1.13909	1.13653	1.13670	25793	38786350000	0
2016.04.13	08:00:00	1.13669	1.13671	1.12949	1.13125	70612	127401331000	7
2016.04.13	16:00:00	1.13124	1.13240	1.12680	1.12723	55119	91397244000	7
2016.04.14	00:00:00	1.12728	1.12839	1.12535	1.12614	27143	42157568000	0
2016.04.14	08:00:00	1.12615	1.12945	1.12335	1.12758	62573	107618154000	7
2016.04.14	16:00:00	1.12758	1.12838	1.12477	1.12663	48055	80258147000	7
2016.04.15	00:00:00	1.12616	1.12684	1.12492	1.12623	21331	27977985000	0
2016.04.15	08:00:00	1.12621	1.12968	1.12453	1.12742	50379	82300303000	7
2016.04.15	16:00:00	1.12744	1.13167	1.12719	1.12827	47739	76216270000	7
2016.04.18	00:00:00	1.12998	1.13065	1.12759	1.12862	25859	27662133000	0
2016.04.18	08:00:00	1.12862	1.13192	1.12734	1.13069	51382	66828663000	7
2016.04.18	16:00:00	1.13071	1.13317	1.12966	1.13119	41969	53970855000	7
2016.04.19	00:00:00	1.13091	1.13255	1.13030	1.13236	18365	20451444000	0
2016.04.19	08:00:00	1.13236	1.13592	1.13145	1.13535	55219	78896273000	7
2016.04.19	16:00:00	1.13534	1.13842	1.13532	1.13575	48211	70574267000	7
2016.04.20	00:00:00	1.13566	1.13733	1.13538	1.13608	19760	26416158000	7
2016.04.20	08:00:00	1.13608	1.13876	1.13484	1.13656	50864	80880876000	7
2016.04.20	16:00:00	1.13656	1.13674	1.12901	1.12952	59194	94264469000	7
2016.04.21	00:00:00	1.12952	1.13060	1.12863	1.12924	21135	27649007000	0
2016.04.21	08:00:00	1.12924	1.13985	1.12828	1.13758	68921	90732864000	0
2016.04.21	16:00:00	1.13763	1.13903	1.12696	1.12860	57527	84464964000	7
2016.04.22	00:00:00	1.12859	1.13084	1.12814	1.12942	21633	28019158000	0
2016.04.22	08:00:00	1.12941	1.13051	1.12488	1.12559	63179	89995879000	7
2016.04.22	16:00:00	1.12561	1.12700	1.12154	1.12154	58508	88084634000	7
2016.04.25	00:00:00	1.12167	1.12466	1.12145	1.12409	22588	32370934000	0
2016.04.25	08:00:00	1.12408	1.12671	1.12308	1.12500	54344	73466153000	7
2016.04.25	16:00:00	1.12499	1.12779	1.12436	1.12660	45068	66806943000	7
2016.04.26	00:00:00	1.12660	1.12751	1.12602	1.12623	21300	29985339000	0
2016.04.26	08:00:00	1.12623	1.13190	1.12559	1.13070	54543	85092420000	7
2016.04.26	16:00:00	1.13071	1.13394	1.12798	1.12950	49899	82749630000	7
2016.04.27	00:00:00	1.12948	1.13115	1.12938	1.12964	21325	28181592000	0
2016.04.27	08:00:00	1.12964	1.13332	1.12910	1.13153	50738	73897430000	7
2016.04.27	16:00:00	1.13153	1.13611	1.12713	1.13191	59059	87269991000	7
2016.04.28	00:00:00	1.13199	1.13441	1.12960	1.13356	33843	42096775000	7
2016.04.28	08:00:00	1.13357	1.13676	1.13273	1.13452	67302	95606482000	7
2016.04.28	16:00:00	1.13452	1.13617	1.13100	1.13509	53930	77137608000	7
2016.04.29	00:00:00	1.13509	1.13945	1.13470	1.13938	23984	30905328000	4
2016.04.29	08:00:00	1.13939	1.14317	1.13696	1.14143	63471	91044472000	7
2016.04.29	16:00:00	1.14143	1.14590	1.14119	1.14504	69119	108582480000	7
2016.05.02	00:00:00	1.14582	1.14810	1.14526	1.14661	26691	34428257000	0
2016.05.02	08:00:00	1.14662	1.15011	1.14479	1.14833	45821	63859911000	7
2016.05.02	16:00:00	1.14833	1.15354	1.14688	1.15331	59312	81374186000	7
